ct_value;s_neg;s_pos
5.25;0;0
5.75;0;0
6.25;0;0
6.75;0;0
7.25;0;0
7.75;0;0
8.25;0;0
8.75;0;0
9.25;0;0
9.75;5;0
10.25;6;3
10.75;5;2
11.25;6;5
11.75;6;1
12.25;6;5
12.75;5;1
13.25;8;5
13.75;1;11
14.25;6;3
14.75;6;7
15.25;5;10
15.75;1;9
16.25;5;9
16.75;5;9
17.25;7;10
17.75;0;9
18.25;6;16
18.75;1;16
19.25;5;14
19.75;3;14
20.25;3;15
20.75;1;13
21.25;5;14
21.75;2;10
22.25;3;9
22.75;0;10
23.25;2;9
23.75;1;10
24.25;3;12
24.75;3;17
25.25;4;17
25.75;1;12
26.25;6;10
26.75;1;8
27.25;3;11
27.75;1;9
28.25;2;7
28.75;2;11
29.25;3;12
29.75;1;8
30.25;3;2
30.75;1;6
31.25;2;5
31.75;4;10
32.25;4;3
32.75;0;5
33.25;6;4
33.75;2;7
34.25;6;5
34.75;2;3
35.25;1;2
35.75;0;2
36.25;0;3
36.75;1;2
37.25;0;1
37.75;0;1
38.25;0;0
38.75;0;0
39.25;0;0
39.75;0;0
