areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedFirstDoseByPublishDate
overview,United Kingdom,K02000001,2021-04-01,153823,31301267
overview,United Kingdom,K02000001,2021-03-31,239434,31147444
overview,United Kingdom,K02000001,2021-03-30,225917,30908010
overview,United Kingdom,K02000001,2021-03-29,236809,30682093
overview,United Kingdom,K02000001,2021-03-28,293548,30445284
overview,United Kingdom,K02000001,2021-03-27,424301,30151736
overview,United Kingdom,K02000001,2021-03-26,411305,29727435
overview,United Kingdom,K02000001,2021-03-25,324942,29316130
overview,United Kingdom,K02000001,2021-03-24,337665,28991188
overview,United Kingdom,K02000001,2021-03-23,325650,28653523
overview,United Kingdom,K02000001,2021-03-22,329897,28327873
overview,United Kingdom,K02000001,2021-03-21,367006,27997976
overview,United Kingdom,K02000001,2021-03-20,752308,27630970
overview,United Kingdom,K02000001,2021-03-19,614930,26878662
overview,United Kingdom,K02000001,2021-03-18,528260,26263732
overview,United Kingdom,K02000001,2021-03-17,462246,25735472
overview,United Kingdom,K02000001,2021-03-16,433320,25273226
overview,United Kingdom,K02000001,2021-03-15,386685,24839906
overview,United Kingdom,K02000001,2021-03-14,257010,24453221
overview,United Kingdom,K02000001,2021-03-13,512108,24196211
overview,United Kingdom,K02000001,2021-03-12,369578,23684103
overview,United Kingdom,K02000001,2021-03-11,260809,23314525
overview,United Kingdom,K02000001,2021-03-10,243887,23053716
overview,United Kingdom,K02000001,2021-03-09,217301,22809829
overview,United Kingdom,K02000001,2021-03-08,215273,22592528
overview,United Kingdom,K02000001,2021-03-07,164143,22377255
overview,United Kingdom,K02000001,2021-03-06,416834,22213112
overview,United Kingdom,K02000001,2021-03-05,437463,21796278
overview,United Kingdom,K02000001,2021-03-04,376244,21358815
overview,United Kingdom,K02000001,2021-03-03,278956,20982571
overview,United Kingdom,K02000001,2021-03-02,224996,20703615
overview,United Kingdom,K02000001,2021-03-01,203168,20478619
overview,United Kingdom,K02000001,2021-02-28,185900,20275451
overview,United Kingdom,K02000001,2021-02-27,407503,20089551
overview,United Kingdom,K02000001,2021-02-26,504493,19682048
overview,United Kingdom,K02000001,2021-02-25,485720,19177555
overview,United Kingdom,K02000001,2021-02-24,448962,18691835
overview,United Kingdom,K02000001,2021-02-23,326692,18242873
overview,United Kingdom,K02000001,2021-02-22,192341,17916181
overview,United Kingdom,K02000001,2021-02-21,141719,17723840
overview,United Kingdom,K02000001,2021-02-20,334679,17582121
overview,United Kingdom,K02000001,2021-02-19,371906,17247442
overview,United Kingdom,K02000001,2021-02-18,452454,16875536
overview,United Kingdom,K02000001,2021-02-17,482110,16423082
overview,United Kingdom,K02000001,2021-02-16,364865,15940972
overview,United Kingdom,K02000001,2021-02-15,275956,15576107
overview,United Kingdom,K02000001,2021-02-14,237962,15300151
overview,United Kingdom,K02000001,2021-02-13,505362,15062189
overview,United Kingdom,K02000001,2021-02-12,544603,14556827
overview,United Kingdom,K02000001,2021-02-11,503116,14012224
overview,United Kingdom,K02000001,2021-02-10,450810,13509108
overview,United Kingdom,K02000001,2021-02-09,411812,13058298
overview,United Kingdom,K02000001,2021-02-08,352480,12646486
overview,United Kingdom,K02000001,2021-02-07,278988,12294006
overview,United Kingdom,K02000001,2021-02-06,549808,12015018
overview,United Kingdom,K02000001,2021-02-05,494163,11465210
overview,United Kingdom,K02000001,2021-02-04,480560,10971047
overview,United Kingdom,K02000001,2021-02-03,469016,10490487
overview,United Kingdom,K02000001,2021-02-02,374756,10021471
overview,United Kingdom,K02000001,2021-02-01,350348,9646715
overview,United Kingdom,K02000001,2021-01-31,319038,9296367
overview,United Kingdom,K02000001,2021-01-30,598389,8977329
overview,United Kingdom,K02000001,2021-01-29,487756,8378940
overview,United Kingdom,K02000001,2021-01-28,414419,7891184
overview,United Kingdom,K02000001,2021-01-27,312378,7476765
overview,United Kingdom,K02000001,2021-01-26,311060,7164387
overview,United Kingdom,K02000001,2021-01-25,279757,6853327
overview,United Kingdom,K02000001,2021-01-24,220249,6573570
overview,United Kingdom,K02000001,2021-01-23,491970,6353321
overview,United Kingdom,K02000001,2021-01-22,478248,5861351
overview,United Kingdom,K02000001,2021-01-21,409855,5383103
overview,United Kingdom,K02000001,2021-01-20,363508,4973248
overview,United Kingdom,K02000001,2021-01-19,343163,4609740
overview,United Kingdom,K02000001,2021-01-18,204076,4266577
overview,United Kingdom,K02000001,2021-01-17,190107,4062501
overview,United Kingdom,K02000001,2021-01-16,296131,3872394
overview,United Kingdom,K02000001,2021-01-15,341317,3576263
overview,United Kingdom,K02000001,2021-01-14,316694,3234946
overview,United Kingdom,K02000001,2021-01-13,278943,2918252
overview,United Kingdom,K02000001,2021-01-12,207661,2639309
overview,United Kingdom,K02000001,2021-01-11,145076,2431648
overview,United Kingdom,K02000001,2021-01-10,,2286572
